LAST SEEN   TYPE      REASON                    OBJECT                                   MESSAGE
8m6s        Normal    Scheduled                 pod/millo-api-7fbbfb8896-5zctp           Successfully assigned millo/millo-api-7fbbfb8896-5zctp to vmi2435915
8m3s        Warning   FailedScheduling          pod/millo-api-7fbbfb8896-5bgsj           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Normal    Scheduled                 pod/janus-75d997d488-c26zl               Successfully assigned millo/janus-75d997d488-c26zl to vmi2435915
6m29s       Normal    Scheduled                 pod/millo-workers-79f5ccb6cc-pvggx       Successfully assigned millo/millo-workers-79f5ccb6cc-pvggx to vmi2435915
7m53s       Warning   FailedScheduling          pod/millo-workers-79f5ccb6cc-pvggx       0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
7m53s       Warning   FailedScheduling          pod/millo-workers-79f5ccb6cc-pvggx       0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
22s         Normal    Scheduled                 pod/millo-workers-6cddfdbd65-zsjsk       Successfully assigned millo/millo-workers-6cddfdbd65-zsjsk to vmi2435915
8m3s        Normal    Scheduled                 pod/millo-workers-54ff4d94cc-p697p       Successfully assigned millo/millo-workers-54ff4d94cc-p697p to vmi2435915
8m4s        Warning   FailedScheduling          pod/millo-workers-54ff4d94cc-p697p       0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
25m         Normal    Scheduled                 pod/millo-api-6c8f6c4f7d-rqjpf           Successfully assigned millo/millo-api-6c8f6c4f7d-rqjpf to vmi2435915
18m         Warning   FailedScheduling          pod/janus-75d997d488-c26zl               0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-kvzkb           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
19s         Normal    Scheduled                 pod/millo-nginx-rtmp-c5984747c-zpqrr     Successfully assigned millo/millo-nginx-rtmp-c5984747c-zpqrr to vmi2435915
21s         Warning   FailedScheduling          pod/millo-nginx-rtmp-c5984747c-zpqrr     0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
22s         Warning   FailedScheduling          pod/janus-7f87d48658-9gmj6               0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
21s         Normal    Scheduled                 pod/janus-7f87d48658-9gmj6               Successfully assigned millo/janus-7f87d48658-9gmj6 to vmi2435915
21s         Warning   FailedScheduling          pod/millo-nginx-rtmp-c5984747c-zpqrr     0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m7s        Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-kvzkb           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
13m         Warning   FailedScheduling          pod/janus-75d997d488-c26zl               0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Normal    Scheduled                 pod/millo-nginx-rtmp-58f947ffb8-m6wm9    Successfully assigned millo/millo-nginx-rtmp-58f947ffb8-m6wm9 to vmi2435915
12m         Warning   FailedScheduling          pod/millo-nginx-rtmp-58f947ffb8-m6wm9    0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
17m         Warning   FailedScheduling          pod/millo-nginx-rtmp-58f947ffb8-m6wm9    0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Normal    Scheduled                 pod/millo-api-7fbbfb8896-vln79           Successfully assigned millo/millo-api-7fbbfb8896-vln79 to vmi2435915
8m6s        Warning   FailedScheduling          pod/millo-api-7fbbfb8896-vln79           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m7s        Warning   FailedScheduling          pod/millo-api-7fbbfb8896-vln79           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m7s        Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-wkv4m           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-wkv4m           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Normal    Scheduled                 pod/millo-api-6c8f6c4f7d-d9bz6           Successfully assigned millo/millo-api-6c8f6c4f7d-d9bz6 to vmi2435915
22s         Warning   FailedScheduling          pod/millo-api-5555fc98f9-s29zt           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
21s         Warning   FailedScheduling          pod/millo-api-5555fc98f9-s29zt           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Normal    Scheduled                 pod/millo-api-6c8f6c4f7d-wkv4m           Successfully assigned millo/millo-api-6c8f6c4f7d-wkv4m to vmi2435915
7m53s       Warning   FailedScheduling          pod/millo-api-66bdb6c667-h289m           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6m29s       Warning   FailedScheduling          pod/millo-api-66bdb6c667-h289m           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
22s         Normal    Scheduled                 pod/millo-api-66bdb6c667-h289m           Successfully assigned millo/millo-api-66bdb6c667-h289m to vmi2435915
8m7s        Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-d9bz6           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-d9bz6           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Normal    Scheduled                 pod/millo-api-6c8f6c4f7d-kvzkb           Successfully assigned millo/millo-api-6c8f6c4f7d-kvzkb to vmi2435915
8m6s        Warning   FailedScheduling          pod/millo-api-7fbbfb8896-5zctp           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
